oml_tuple_id,oml_sender_id,oml_seq,oml_ts_client,oml_ts_server,timeMeas,loclat,loclon,mRssi,mRssnr,mRsrp,mRsrq,mCqi,cellid,lac,rat,networkOperator,nameBS,brand_model,avgLatency,route_id
4344,1,0,0.954,1495104240.19045,1495105162266,39.365734742868966,22.923645010476687,-99,10,-104,-9,11,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4345,1,0,0.946,1495104242.27056,1495105164369,39.36572098994637,22.923680522716456,-93,0,-101,-9,10,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4346,1,0,0.954,1495104244.34159,1495105166451,39.36566380083941,22.92361818380544,-89,-10,-99,-9,10,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4347,1,0,0.945,1495104246.41037,1495105168518,39.365671780003126,22.92366858841663,-95,0,-102,-10,11,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4348,1,0,0.944,1495104248.50036,1495105170589,39.365688091261404,22.92361647214645,-93,0,-101,-10,11,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4349,1,0,0.948,1495104250.58047,1495105172677,39.36569636649255,22.923597545231218,-93,0,-101,-11,9,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4350,1,0,0.941,1495104252.67054,1495105174758,39.36569008534034,22.92359365955064,-93,0,-101,-11,9,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4351,1,0,0.951,1495104254.76035,1495105176851,39.36567076645375,22.923616995171393,-93,-10,-101,-11,10,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4352,1,0,0.952,1495104256.84068,1495105178938,39.36564229283871,22.923661130993015,-93,-10,-101,-11,10,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4353,1,0,0.952,1495104258.92072,1495105181017,39.365608600638495,22.92369285175315,-93,20,-101,-9,11,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4354,1,0,0.951,1495104261.00072,1495105183096,39.365595122050934,22.923716049030872,-93,20,-101,-9,11,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4355,1,0,0.951,1495104263.08008,1495105185177,39.36558310869038,22.923743110775632,-93,20,-101,-9,11,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4356,1,0,0.966,1495104265.15073,1495105187255,39.36556752661818,22.923769418812903,-93,20,-101,-9,11,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4357,1,0,0.944,1495104267.22065,1495105189329,39.36557977041603,22.923767825556077,-93,20,-101,-9,11,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4358,1,0,0.954,1495104269.29001,1495105191398,39.36561641937875,22.92376700349206,-93,20,-101,-9,11,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4359,1,0,0.949,1495104271.37002,1495105193465,39.36567957876909,22.92374645063244,-93,20,-101,-9,11,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4360,1,0,0.95,1495104273.44449,1495105195545,39.36573503037013,22.923701502047734,-95,-10,-102,-12,8,48762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
4361,1,0,0.952,1495104275.53257,1495105197624,39.36579907493679,22.92365472506617,-85,40,-97,-9,10,43762,4120,LTE,20201,unknown,SM-G935F samsung 7.0,1,1
